City,Year,Alcohol,Drugs,Alcohol_Drugs,dangerous_operation,Total
Ottawa-Gatineau,2019,3,0,1,10,14
Ottawa-Gatineau,2020,2,0,0,6,8
Ottawa-Gatineau,2021,9,0,0,13,22
Ottawa-Gatineau,2022,5,1,0,9,15
Ottawa-Gatineau,2023,12,0,0,13,25
Kingston,2019,1,0,0,5,6
Kingston,2020,0,0,0,4,4
Kingston,2021,0,0,1,2,3
Kingston,2022,1,0,1,2,4
Kingston,2023,0,0,0,0,0
Belleville-Quinte West,2019,0,0,0,1,1
Belleville-Quinte West,2020,0,0,0,4,4
Belleville-Quinte West,2021,0,0,0,5,5
Belleville-Quinte West,2022,1,0,0,3,4
Belleville-Quinte West,2023,0,0,1,3,4
Peterborough,2019,0,0,0,1,1
Peterborough,2020,0,0,0,1,1
Peterborough,2021,0,0,0,4,4
Peterborough,2022,0,0,0,5,5
Peterborough,2023,0,0,0,2,2
Toronto,2019,22,1,0,58,81
Toronto,2020,8,2,0,68,78
Toronto,2021,16,2,2,57,77
Toronto,2022,21,1,3,62,87
Toronto,2023,21,1,4,70,96
Hamilton,2019,1,0,0,12,13
Hamilton,2020,2,0,0,9,11
Hamilton,2021,3,2,0,10,15
Hamilton,2022,2,0,0,12,14
Hamilton,2023,3,0,0,5,8
St. Catharines-Niagara,2019,5,3,0,1,9
St. Catharines-Niagara,2020,5,1,0,5,11
St. Catharines-Niagara,2021,2,0,0,4,6
St. Catharines-Niagara,2022,4,1,0,4,9
St. Catharines-Niagara,2023,8,2,0,2,12
Kitchener-Cambridge-Waterloo,2019,1,1,0,14,16
Kitchener-Cambridge-Waterloo,2020,0,1,0,8,9
Kitchener-Cambridge-Waterloo,2021,2,2,0,15,19
Kitchener-Cambridge-Waterloo,2022,2,0,0,6,8
Kitchener-Cambridge-Waterloo,2023,0,0,1,6,7
Brantford,2019,3,0,0,4,7
Brantford,2020,4,1,0,1,6
Brantford,2021,0,0,0,4,4
Brantford,2022,1,0,0,3,4
Brantford,2023,1,0,0,11,12
Guelph,2019,0,0,0,2,2
Guelph,2020,0,0,0,0,0
Guelph,2021,1,0,0,3,4
Guelph,2022,0,0,0,0,0
Guelph,2023,0,0,0,1,1
London,2019,2,1,0,8,11
London,2020,6,0,1,5,12
London,2021,2,1,0,5,8
London,2022,5,1,0,4,10
London,2023,5,2,0,6,13
Windsor,2019,0,0,0,8,8
Windsor,2020,0,0,0,5,5
Windsor,2021,1,0,0,10,11
Windsor,2022,1,0,0,6,7
Windsor,2023,1,0,0,6,7
Barrie,2019,0,0,0,5,5
Barrie,2020,0,0,0,5,5
Barrie,2021,0,0,1,6,7
Barrie,2022,0,2,1,4,7
Barrie,2023,0,0,0,7,7
Greater Sudbury,2019,0,0,0,1,1
Greater Sudbury,2020,0,0,0,3,3
Greater Sudbury,2021,0,0,0,8,8
Greater Sudbury,2022,1,0,0,5,6
Greater Sudbury,2023,3,0,0,3,6
Thunder Bay,2019,0,1,0,4,5
Thunder Bay,2020,0,0,0,0,0
Thunder Bay,2021,0,0,0,2,2
Thunder Bay,2022,1,0,0,2,3
Thunder Bay,2023,0,0,0,4,4
